Date,Open,High,Low,Close,Change,Change(%),Ratio(%),Volume,Value(T),Interval_High_Open,Interval_Open_From_LastDay,Interval_Open_From_LastDay(%),Cluster,Cluster_Selected,PCA1,PCA2
827,50.0,50.0,50.0,50.0,3,0.0,0.0,415,171,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
812,50.0,50.0,50.0,50.0,3,0.0,0.0,149,683,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
780,50.0,50.0,50.0,50.0,3,0.0,0.0,472,65,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
746,50.0,50.0,50.0,50.0,3,0.0,0.0,35,573,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
731,50.0,50.0,50.0,50.0,3,0.0,0.0,258,815,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
729,50.0,50.0,50.0,50.0,3,0.0,0.0,205,764,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
724,50.0,50.0,50.0,50.0,3,0.0,0.0,335,25,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
720,50.0,50.0,50.0,50.0,3,0.0,0.0,709,446,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
718,50.0,50.0,50.0,50.0,3,0.0,0.0,709,446,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
715,50.0,50.0,50.0,50.0,3,0.0,0.0,73,605,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
712,50.0,50.0,50.0,50.0,3,0.0,0.0,35,573,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
701,50.0,50.0,50.0,50.0,3,0.0,0.0,732,462,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
699,50.0,50.0,50.0,50.0,3,0.0,0.0,515,279,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
697,50.0,50.0,50.0,50.0,3,0.0,0.0,220,782,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
695,50.0,50.0,50.0,50.0,3,0.0,0.0,541,297,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
692,50.0,50.0,50.0,50.0,3,0.0,0.0,220,782,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
687,50.0,50.0,50.0,50.0,3,0.0,0.0,354,135,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
683,50.0,50.0,50.0,50.0,3,0.0,0.0,59,581,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
681,50.0,50.0,50.0,50.0,3,0.0,0.0,791,486,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
744,50.0,50.0,50.0,50.0,3,0.0,0.0,91,612,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
742,50.0,50.0,50.0,50.0,3,0.0,0.0,433,175,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
736,50.0,50.0,50.0,50.0,3,0.0,0.0,787,519,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
733,50.0,50.0,50.0,50.0,3,0.0,0.0,463,191,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
730,50.0,50.0,50.0,50.0,3,0.0,0.0,641,373,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
703,50.0,50.0,50.0,50.0,3,0.0,0.0,64,592,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
650,50.0,50.0,50.0,50.0,3,0.0,0.0,552,307,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
647,50.0,50.0,50.0,50.0,3,0.0,0.0,647,385,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
643,50.0,50.0,50.0,50.0,3,0.0,0.0,415,171,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
640,50.0,50.0,50.0,50.0,3,0.0,0.0,803,535,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
623,50.0,50.0,50.0,50.0,3,0.0,0.0,1,557,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
616,50.0,50.0,50.0,50.0,3,0.0,0.0,237,800,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
614,50.0,50.0,50.0,50.0,3,0.0,0.0,262,75,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
608,50.0,50.0,50.0,50.0,3,0.0,0.0,1,557,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
604,50.0,50.0,50.0,50.0,3,0.0,0.0,310,105,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
601,50.0,50.0,50.0,50.0,3,0.0,0.0,262,75,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
597,50.0,50.0,50.0,50.0,3,0.0,0.0,818,542,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
